Status,Phonetic,Word,Example,Audio_url,Study_count
1,[i],eat,Let's eat out tonight.,url,0
1,[i],need,I need your help.,url,0
1,[i],thief,They caught the thief.,url,0
1,[ɪ],sit,Sit down please.,url,0
1,[ɪ],fit,This shirt doesn't fit me.,url,0
1,[ɪ],give,Give me a kiss.,url,0
1,[e],lake,He lives by the lake.,url,0
1,[e],make,I'll make coffee for you.,url,0
1,[e],later,I'll be back later.,url,0
1,[ɛ],bed,You should go to bed.,url,0
1,[ɛ],let,Let me go.,url,0
1,[ɛ],pen,Can I use your pen.,url,0
1,[æ],bad,He is a bad boy.,url,0
1,[æ],dad,My dad speaks English well.,url,0
1,[æ],matter,What's the matter with him?,url,0
1,[ɑ],lock,Lock the door please.,url,0
1,[ɑ],hot,It's very hot today.,url,0
1,[ɑ],stop,Stop crying!,url,0
1,[ɑr],hard,The lesson is not hard.,url,0
1,[ɑr],artist,His sister is an artist.,url,0
1,[ɑr],far,I live far away from him.,url,0
1,[ɔ],law,You should obey the law.,url,0
1,[ɔ],saw,Where can I buy this saw?,url,0
1,[ɔ],hall,I'll meet you at the hall.,url,0
1,[ɔr],born,He was born two years ago.,url,0
1,[ɔr],for,I did it for you.,url,0
1,[ɔr],warning,You should listen to his warning.,url,0
1,[ɔɪ],boy,The boy is angry.,url,0
1,[ɔɪ],toy,He bought me a toy.,url,0
1,[ɔɪ],soil,The soil is rich.,url,0
1,[o],coat,Put on your coat.,url,0
1,[o],soap,Use soap to wash your hands.,url,0
1,[o],open,Open the door will you?,url,0
1,[u],too,He is happy too.,url,0
1,[u],mood,She is in a bad mood.,url,0
1,[u],food,Do you enjoy the food?,url,0
1,[ʊ],book,Whose book is this?,url,0
1,[ʊ],good,His English is very good.,url,0
1,[ʊ],would,Would you do me a favor?,url,0
1,[ʊr],tour,We'll tour the city today.,url,0
1,[ʊr],your,How's your father?,url,0
1,[ʊr],poor,He is poor but happy.,url,0
1,[ʌ],bus,The bus is coming,url,0
1,[ʌ],money,I need more money.,url,0
1,[ʌ],tough,I don't think the job is tough.,url,0
1,[ə],ago,He left home two hours ago.,url,0
1,[ə],seven,There are seven members in my family.,url,0
1,[ə],sofa,There is a sofa by the window.,url,0
1,[ʌr],bird,I see a bird in the cage.,url,0
1,[ʌr],her,Her sister loves music very much.,url,0
1,[ʌr],worry,Don't worry about me.,url,0
1,[ər],letter,Don't forget to mail this letter.,url,0
1,[ər],temper,She has a very bad temper.,url,0
1,[ər],nature,I'm a nature lover.,url,0
1,[aɪ],life,They led a happy life.,url,0
1,[aɪ],child,The child never studies.,url,0
